Student ID,Question ID,difficulty,correct,Response Time,topic,difficulty_encoded,global_correctness,avg_response_time,questions_answered_so_far,topic_correctness,easy_correct_avg,medium_correct_avg,hard_correct_avg,topic_questions_seen,topic_familiarity,num_words,qstn_complexity
0,1,hard,0,24498,6,3,0.5,0.0,0,0.5,0.5,0.5,0.5,0,0,10,8.370000000000001
0,2,easy,1,8227,22,1,0.0,24498.0,1,0.5,0.5,0.5,0.0,0,0,11,5.863636363636363
0,3,easy,0,16523,22,1,0.5,16362.5,2,1.0,1.0,0.5,0.0,1,1,8,7.368571428571428
0,4,easy,1,11553,22,1,0.3333333333333333,16416.0,3,0.5,0.5,0.5,0.0,2,1,8,7.368571428571428
0,5,medium,0,23674,22,2,0.5,15200.25,4,0.6666666666666666,0.6666666666666666,0.5,0.0,3,1,12,6.790000000000003
0,6,easy,0,19502,23,1,0.4,16895.0,5,0.5,0.6666666666666666,0.0,0.0,0,0,14,7.570000000000004
0,7,easy,0,18246,8,1,0.3333333333333333,17329.5,6,0.5,0.5,0.0,0.0,0,0,5,14.68
0,8,easy,1,11553,8,1,0.2857142857142857,17460.428571428572,7,0.0,0.4,0.0,0.0,1,1,15,11.500000000000004
0,9,easy,1,14866,22,1,0.375,16722.0,8,0.5,0.5,0.0,0.0,4,1,15,11.500000000000004
0,10,easy,1,11553,19,1,0.4444444444444444,16515.777777777777,9,0.5,0.5714285714285714,0.0,0.0,0,0,17,7.698823529411765
0,11,easy,1,11553,19,1,0.5,16019.5,10,1.0,0.625,0.0,0.0,1,1,15,10.941428571428574
0,12,easy,1,11553,19,1,0.5454545454545454,15613.454545454546,11,1.0,0.6666666666666666,0.0,0.0,2,1,17,7.004705882352944
0,13,easy,1,14913,19,1,0.5833333333333334,15275.083333333334,12,1.0,0.7,0.0,0.0,3,1,8,0.8049999999999997
0,14,medium,1,25959,8,2,0.6153846153846154,15247.23076923077,13,0.5,0.7272727272727273,0.0,0.0,2,1,10,8.370000000000001
0,15,medium,0,24979,8,2,0.6428571428571429,16012.357142857143,14,0.6666666666666666,0.7272727272727273,0.5,0.0,3,1,17,9.08705882352941
0,16,easy,0,26223,8,1,0.6,16610.133333333335,15,0.5,0.7272727272727273,0.3333333333333333,0.0,4,1,15,4.420000000000002
0,17,easy,1,20772,8,1,0.5625,17210.9375,16,0.4,0.6666666666666666,0.3333333333333333,0.0,5,1,17,8.39294117647059
0,18,hard,0,20312,24,3,0.5882352941176471,17420.41176470588,17,0.5,0.6923076923076923,0.3333333333333333,0.0,0,0,22,14.98090909090909
0,19,easy,0,15255,24,1,0.5555555555555556,17581.055555555555,18,0.0,0.6923076923076923,0.3333333333333333,0.0,1,1,14,12.62714285714286
0,20,hard,0,20875,8,3,0.5263157894736842,17458.63157894737,19,0.5,0.6428571428571429,0.3333333333333333,0.0,6,1,13,11.264615384615386
0,21,hard,0,19099,6,3,0.5,17629.45,20,0.0,0.6428571428571429,0.3333333333333333,0.0,1,1,26,17.242307692307694
0,22,easy,1,11553,8,1,0.47619047619047616,17699.428571428572,21,0.42857142857142855,0.6428571428571429,0.3333333333333333,0.0,7,1,21,10.580952380952379
0,23,hard,0,22835,24,3,0.5,17420.045454545456,22,0.0,0.6666666666666666,0.3333333333333333,0.0,2,1,17,15.334117647058822
0,24,hard,0,18166,8,3,0.4782608695652174,17655.478260869564,23,0.5,0.6666666666666666,0.3333333333333333,0.0,8,1,19,17.28315789473685
0,25,hard,0,24666,24,3,0.4583333333333333,17676.75,24,0.0,0.6666666666666666,0.3333333333333333,0.0,3,1,17,16.028235294117646
0,26,hard,0,26279,8,3,0.44,17956.32,25,0.4444444444444444,0.6666666666666666,0.3333333333333333,0.0,9,1,14,14.312857142857148
0,27,easy,0,18185,7,1,0.4230769230769231,18276.423076923078,26,0.5,0.6666666666666666,0.3333333333333333,0.0,0,0,11,11.22727272727273
0,28,medium,1,22521,21,2,0.4074074074074074,18273.037037037036,27,0.5,0.625,0.3333333333333333,0.0,0,0,14,12.62714285714286
0,29,easy,1,11553,21,1,0.42857142857142855,18424.75,28,1.0,0.625,0.5,0.0,1,1,21,10.580952380952379
0,30,easy,1,9762,7,1,0.4482758620689655,18187.793103448275,29,0.0,0.6470588235294118,0.5,0.0,1,1,11,10.154545454545456
0,31,medium,1,24111,6,2,0.4666666666666667,17906.933333333334,30,0.0,0.6666666666666666,0.5,0.0,2,1,12,12.690000000000001
0,32,medium,1,29072,12,2,0.4838709677419355,18107.064516129034,31,0.5,0.6666666666666666,0.6,0.0,0,0,4,6.620000000000001
0,33,easy,1,14173,11,1,0.5,18449.71875,32,0.5,0.6666666666666666,0.6666666666666666,0.0,0,0,12,8.756666666666668
0,34,easy,1,14234,18,1,0.5151515151515151,18320.121212121212,33,0.5,0.6842105263157895,0.6666666666666666,0.0,0,0,10,9.55
0,35,easy,1,14234,18,1,0.5294117647058824,18199.941176470587,34,1.0,0.7,0.6666666666666666,0.0,1,1,11,8.009090909090911
0,36,medium,1,23230,18,2,0.5428571428571428,18086.628571428573,35,1.0,0.7142857142857143,0.6666666666666666,0.0,2,1,9,4.964444444444446
0,37,easy,0,22110,12,1,0.5555555555555556,18229.5,36,1.0,0.7142857142857143,0.7142857142857143,0.0,1,1,9,8.89777777777778
0,38,hard,1,26395,18,3,0.5405405405405406,18334.37837837838,37,1.0,0.6818181818181818,0.7142857142857143,0.0,3,1,15,12.286666666666669
0,39,easy,1,14338,18,1,0.5526315789473685,18546.5,38,1.0,0.6818181818181818,0.7142857142857143,0.1111111111111111,4,1,7,5.682857142857145
0,40,easy,1,9762,18,1,0.5641025641025641,18438.589743589742,39,1.0,0.6956521739130435,0.7142857142857143,0.1111111111111111,5,1,10,9.55
0,41,easy,0,22744,18,1,0.575,18221.675,40,1.0,0.7083333333333334,0.7142857142857143,0.1111111111111111,6,1,12,8.756666666666668
0,42,easy,1,8227,18,1,0.5609756097560976,18331.975609756097,41,0.8571428571428571,0.68,0.7142857142857143,0.1111111111111111,7,1,16,12.037500000000005
0,43,medium,0,25193,18,2,0.5714285714285714,18091.380952380954,42,0.875,0.6923076923076923,0.7142857142857143,0.1111111111111111,8,1,15,9.140000000000004
0,44,easy,1,20828,6,1,0.5581395348837209,18256.53488372093,43,0.3333333333333333,0.6923076923076923,0.625,0.1111111111111111,3,1,11,10.154545454545456
0,45,hard,0,19099,18,3,0.5681818181818182,18314.977272727272,44,0.7777777777777778,0.7037037037037037,0.625,0.1111111111111111,9,1,15,10.713333333333338
0,46,easy,1,14338,18,1,0.5555555555555556,18332.4,45,0.7,0.7037037037037037,0.625,0.1,10,1,20,12.860000000000003
0,47,hard,0,19679,9,3,0.5652173913043478,18245.565217391304,46,0.5,0.7142857142857143,0.625,0.1,0,0,13,12.172307692307694
0,48,easy,1,20130,9,1,0.5531914893617021,18276.063829787236,47,0.0,0.7142857142857143,0.625,0.09090909090909091,1,1,13,14.895384615384618
0,49,hard,0,19099,8,3,0.5625,18314.6875,48,0.4,0.7241379310344828,0.625,0.09090909090909091,10,1,20,14.040000000000003
